,city_state,pop
370,"Palm Coast, FL","89,800"
371,"St. George, UT","89,587"
372,"Fall River, MA","89,541"
373,"Nashua, NH","89,355"
374,"Champaign, IL","88,909"
375,"Miami Beach, FL","88,885"
376,"Norwalk, CT","88,816"
377,"San Leandro, CA","88,815"
378,"O'Fallon, MO","88,673"
379,"Newton, MA","88,414"
380,"Reading, PA","88,375"
381,"Avondale, AZ","87,931"
382,"Fort Smith, AR","87,891"
383,"Citrus Heights, CA","87,796"
384,"Ogden, UT","87,773"
385,"Fayetteville, AR","87,590"
386,"Fort Myers, FL","87,103"
387,"Goodyear, AZ","86,840"
388,"Bryan, TX","86,276"
389,"Waukegan, IL","86,075"
390,"Hawthorne, CA","86,068"
391,"Redwood City, CA","85,925"
392,"Hoover, AL","85,768"
393,"Bloomington, IN","85,755"
394,"Duluth, MN","85,618"
395,"Lake Forest, CA","85,531"
396,"Hemet, CA","85,334"
397,"Whittier, CA","85,098"
398,"Clifton, NJ","85,052"
399,"Largo, FL","84,948"
400,"Bloomington, MN","84,943"
401,"Danbury, CT","84,694"
402,"Santa Fe, NM","84,683"
403,"Johns Creek, GA","84,579"
404,"Newport Beach, CA","84,534"
405,"Kennewick, WA","84,347"
406,"Mission, TX","84,331"
407,"Milpitas, CA","84,196"
408,"Troy, MI","84,092"
409,"Chino Hills, CA","83,853"
410,"Alhambra, CA","83,750"
411,"Merced, CA","83,676"
412,"Trenton, NJ","83,203"
413,"Franklin, TN","83,097"
414,"Medford, OR","83,072"
415,"Melbourne, FL","83,029"
416,"Manteca, CA","83,028"
417,"Mountain View, CA","82,739"
418,"Sioux City, IA","82,651"
419,"Lynchburg, VA","82,168"
420,"Buena Park, CA","81,788"
421,"Pleasanton, CA","81,777"
422,"Longview, TX","81,631"
423,"Westland, MI","81,511"
424,"Auburn, WA","81,464"
425,"Cranston, RI","81,456"
426,"Somerville, MA","81,360"
427,"Folsom, CA","81,328"
428,"Springdale, AR","81,125"
429,"Deerfield Beach, FL","81,066"
430,"Warwick, RI","81,004"
431,"Cicero town, IL","80,796"
432,"Farmington Hills, MI","80,612"
433,"Brooklyn Park, MN","80,389"
434,"Lawrence, MA","80,028"
435,"Plymouth, MN","79,768"
436,"Buckeye, AZ","79,620"
437,"Georgetown, TX","79,604"
438,"Cedar Park, TX","79,462"
439,"Tustin, CA","79,348"
440,"Lakewood, CA","79,307"
441,"Perris, CA","79,291"
442,"Flower Mound town, TX","79,135"
443,"Pharr, TX","79,112"
444,"Loveland, CO","78,877"
445,"Boynton Beach, FL","78,679"
446,"New Rochelle, NY","78,557"
447,"Temple, TX","78,439"
448,"Lake Charles, LA","78,396"
449,"Jonesboro, AR","78,394"
450,"Napa, CA","78,130"
451,"Parma, OH","78,103"
452,"Layton, UT","78,014"
453,"Alameda, CA","77,624"
454,"Warner Robins, GA","77,617"
455,"Rapid City, SD","77,503"
456,"Bloomington, IL","77,330"
457,"Gastonia, NC","77,273"
458,"Baytown, TX","77,192"
459,"Upland, CA","77,140"
460,"Racine, WI","76,760"
461,"Scranton, PA","76,653"
462,"South Jordan, UT","76,598"
463,"Bellflower, CA","76,435"
464,"Kalamazoo, MI","76,200"
465,"San Ramon, CA","75,995"
